ax,ay,az,gx,gy,gz,mx,my,mz
-200,-96,16952,-267,-16,224,-49,-5,389
-232,-136,16736,-2,115,-131,-48,-3,381
-136,-216,17040,-166,99,-309,-45,-3,391
-248,-224,16888,19,150,-362,-43,-3,383
-288,-24,16952,134,192,-512,-45,-1,391
-64,-8,16888,-281,207,-210,-41,-5,377
-152,-144,17224,-96,201,-31,-50,-3,398
-240,-120,16992,24,134,-391,-48,-1,386
-192,48,16832,82,329,223,-49,-2,387
-288,-416,16960,-82,354,-31,-44,-5,382
-240,-48,16928,18,59,-118,-45,-3,388
-384,-104,16824,-59,71,-108,-45,-6,381
-192,-96,17000,45,281,93,-48,-16,383
-144,-160,17112,-135,182,-40,-44,-7,382
-128,-80,16888,5,96,29,-44,-12,380
-104,-24,17096,-280,321,183,-45,-11,393
-128,-128,17120,370,-9,59,-45,-11,386
-248,-216,17016,37,469,50,-44,-10,394
-88,-64,16888,-145,-1,97,-39,-5,389
-224,-152,16880,132,247,89,-44,-7,389
-296,-184,17000,378,216,-268,-55,-6,386
-168,-200,17016,-94,137,-215,-40,-6,383
-264,-200,16856,243,-10,-162,-41,-2,380
-200,-264,16704,-135,146,-107,-48,-11,393
-88,-128,17056,-135,108,159,-40,-8,393
-152,-24,16768,70,56,-116,-39,-17,387
-280,-264,16888,-227,-43,-236,-48,1,383
-224,32,16936,125,276,-123,-40,-6,393
-16,40,17040,-11,30,-113,-40,-3,395
-304,-168,16888,112,176,-25,-38,6,386
-168,-40,16968,-26,107,106,-50,-8,388
-312,-352,17080,104,260,-271,-53,-6,383
-400,-192,16784,173,204,77,-45,-3,395
-232,-80,17016,-18,51,219,-44,-2,394
-144,16,16768,14,350,-129,-53,1,388
8,-160,17112,281,217,31,-49,0,392
-176,-288,17104,-148,0,9,-53,-1,388
-296,-176,16768,69,-121,-196,-44,-2,389
-192,-224,16976,27,543,-335,-50,-1,393
-144,-32,16952,73,284,129,-54,-15,377
-88,-120,17088,191,44,248,-45,-3,381
-264,-32,17056,121,347,-271,-43,-3,388
-184,-48,17016,-148,270,128,-50,-3,386
-104,144,17008,-4,13,101,-48,1,386
-128,-96,16880,-51,392,140,-41,-7,392
-104,-96,16904,-55,369,116,-48,-3,381
-288,-16,17096,-195,119,-317,-45,-6,379
-240,-176,16928,-21,245,11,-40,-6,388
-88,96,16944,-214,261,36,-39,-12,389
-208,-96,16952,-11,3,89,-44,-12,394
-336,-288,16728,14,470,158,-46,-7,385
-184,-32,16968,28,239,82,-46,-5,385
-232,-168,16920,-60,94,-14,-41,-10,389
-112,-344,16920,119,157,-27,-46,-5,382
-152,40,16728,14,385,-239,-46,-5,385
-80,-168,16944,208,59,86,-34,-2,375
-56,-56,17008,221,6,122,-49,-5,392
-112,-264,16880,-163,-222,-68,-40,-3,391
-64,-96,16904,-64,99,-118,-48,-11,391
-152,-56,16792,95,-187,249,-44,-7,382
-48,-224,17040,-42,273,-123,-38,-6,393
-104,-240,17072,45,391,-264,-40,-1,386
-248,-344,16992,-47,-43,132,-43,-6,388
-96,-88,16800,322,147,-79,-40,-6,388
-64,24,17104,31,107,-136,-46,-5,392
-360,-40,16768,35,-78,-48,-46,-5,387
192,-400,16848,105,224,-162,-49,-15,389
48,-112,16960,171,-35,18,-44,-5,387
-432,-200,16848,-79,164,-222,-40,1,386
-320,-120,16864,-37,-82,42,-43,-3,381
-104,224,16920,-2,408,-228,-48,-3,379
32,240,16872,182,208,195,-49,-10,385
-224,-8,16992,-186,156,-157,-45,-8,383
128,-104,17040,94,256,-216,-38,-6,388
-168,-160,16872,-234,293,-175,-54,-2,385
-176,-232,17064,204,60,213,-40,-14,388
-440,-144,17048,81,152,-167,-51,-7,387
-8,-184,16824,-8,85,-90,-38,-3,386
-288,-200,17016,12,392,74,-54,0,385
-272,-80,17016,94,232,-133,-49,-5,382
