UnixTime,gx,gy,gz,ax,ay,az,mx,my,mz
1700167676.4301524,00,00,00,00,00,00,00,2b,25
1700167676.5377395,00,00,00,00,00,00,0d,30,22
1700167676.6472962,00,00,00,00,00,00,f5,2c,26
1700167676.7547705,00,00,00,00,00,00,04,31,1c
1700167676.862204,00,00,00,00,00,00,03,2d,2c
1700167676.9696317,00,00,00,00,00,00,fe,37,27
1700167677.0771065,00,00,00,00,00,00,0e,33,21
1700167677.187737,00,00,00,00,00,00,04,31,32
1700167677.2953544,00,00,00,00,00,00,00,3a,27
1700167677.4023468,00,00,00,00,00,00,fe,2d,25
1700167677.5055175,00,00,00,00,00,00,03,32,2e
1700167677.6088169,00,00,00,00,00,00,09,36,2b
1700167677.7135885,00,00,00,00,00,00,08,3c,36
1700167677.816715,00,00,00,00,00,00,05,37,2e
1700167677.919846,00,00,00,00,00,00,fe,28,27
1700167678.0229359,00,00,00,00,00,00,06,2e,2f
1700167678.1261024,00,00,00,00,00,00,0b,36,2f
1700167678.2304323,00,00,00,00,00,00,0a,2d,38
1700167678.3379064,00,00,00,00,00,00,05,35,25
1700167678.4455743,00,00,00,00,00,00,09,2c,2d
1700167678.55304,00,00,00,00,00,00,fd,31,28
1700167678.660506,00,00,00,00,00,00,01,39,21
1700167678.7736251,00,00,00,00,00,00,0f,2b,2e
1700167678.8812792,00,00,00,00,00,00,08,32,27
1700167678.9887736,00,00,00,00,00,00,09,33,21
1700167679.0963087,00,00,00,00,00,00,0f,35,1d
1700167679.2038393,00,00,00,00,00,00,0a,2d,31
1700167679.3147376,00,00,00,00,00,00,0a,30,29
1700167679.4233873,00,00,00,00,00,00,ff,2e,28
1700167679.530881,00,00,00,00,00,00,03,30,25
1700167679.638587,00,00,00,00,00,00,09,31,26
1700167679.746346,00,00,00,00,00,00,03,35,27
1700167679.8571463,00,00,00,00,00,00,09,33,1c
1700167679.964651,00,00,00,00,00,00,01,40,2b
1700167680.072205,00,00,00,00,00,00,01,39,26
1700167680.1797457,00,00,00,00,00,00,01,2e,26
1700167680.2872403,00,00,00,00,00,00,05,2b,25
1700167680.3965793,00,00,00,00,00,00,09,33,21
1700167680.504046,00,00,00,00,00,00,08,32,20
1700167680.6119108,00,00,00,00,00,00,04,2e,21
1700167680.719361,00,00,00,00,00,00,08,3a,27
1700167680.8268123,00,00,00,00,00,00,06,3b,28
1700167680.940548,00,00,00,00,00,00,0b,33,28
1700167681.0480824,00,00,00,00,00,00,00,37,27
1700167681.1559749,00,00,00,00,00,00,09,33,1e
1700167681.2635088,00,00,00,00,00,00,0b,33,23
1700167681.3710604,00,00,00,00,00,00,09,2c,23
1700167681.4812486,00,00,00,00,00,00,13,31,2b
1700167681.5887253,00,00,00,00,00,00,03,37,27
1700167681.6918905,00,00,00,00,00,00,08,30,31
1700167681.7950215,00,00,00,00,00,00,0b,27,2b
1700167681.8981578,00,00,00,00,00,00,0a,37,36
1700167682.0022295,00,00,00,00,00,00,00,35,2c
1700167682.105383,00,00,00,00,00,00,fe,35,2e
1700167682.2085395,00,00,00,00,00,00,06,2e,2b
1700167682.3116913,00,00,00,00,00,00,04,33,2b
1700167682.4148493,00,00,00,00,00,00,05,30,31
1700167682.5190907,00,00,00,00,00,00,08,37,2e
1700167682.6222477,00,00,00,00,00,00,fb,3a,27
1700167682.7253962,00,00,00,00,00,00,09,31,2d
1700167682.8285496,00,00,00,00,00,00,00,2b,2c
1700167682.9316797,00,00,00,00,00,00,fd,36,34
1700167683.035872,00,00,00,00,00,00,fe,30,33
1700167683.1390095,00,00,00,00,00,00,09,33,32
1700167683.242155,00,00,00,00,00,00,06,2c,2f
1700167683.3457859,00,00,00,00,00,00,08,30,2c
1700167683.4489183,00,00,00,00,00,00,04,29,2d
1700167683.5537746,00,00,00,00,00,00,01,36,2b
1700167683.6569521,00,00,00,00,00,00,08,32,29
1700167683.7645133,00,00,00,00,00,00,06,2e,2d
1700167683.8720336,00,00,00,00,00,00,0e,31,26
1700167683.9794314,00,00,00,00,00,00,fd,31,2d
1700167684.0887136,00,00,00,00,00,00,00,37,2c
1700167684.1962955,00,00,00,00,00,00,09,2c,28
1700167684.30377,00,00,00,00,00,00,0e,2c,21
1700167684.411236,00,00,00,00,00,00,01,33,28
1700167684.5187042,00,00,00,00,00,00,09,33,21
1700167684.628512,00,00,00,00,00,00,08,35,22
1700167684.7363896,00,00,00,00,00,00,04,31,28
1700167684.8445163,00,00,00,00,00,00,00,28,25
1700167684.952025,00,00,00,00,00,00,0b,36,23
1700167685.0594716,00,00,00,00,00,00,09,36,23
1700167685.1693237,00,00,00,00,00,00,03,3a,2c
1700167685.2768621,00,00,00,00,00,00,06,33,28
1700167685.3844204,00,00,00,00,00,00,06,33,28
1700167685.4919171,00,00,00,00,00,00,03,35,22
1700167685.5993583,00,00,00,00,00,00,06,2c,1c
1700167685.7101262,00,00,00,00,00,00,0d,32,25
