Mag1X,Mag1Y,Mag1Z,Mag2X,Mag2Y,Mag2Z
-18.093333333333334,28.840000000000003,24.880000000000003,-27.413333333333334,-17.613333333333333,21.333333333333336
-17.92,28.826666666666668,24.96,-27.360000000000003,-17.560000000000002,21.240000000000002
-18.013333333333335,28.880000000000003,24.853333333333335,-27.30666666666667,-17.546666666666667,21.28
-18.040000000000003,28.880000000000003,24.84,-27.413333333333334,-17.560000000000002,21.253333333333334
-18.026666666666667,28.853333333333335,24.866666666666667,-27.453333333333337,-17.546666666666667,21.293333333333333
-18.12,28.8,24.973333333333336,-27.46666666666667,-17.613333333333333,21.200000000000003
-18.053333333333335,28.78666666666667,24.880000000000003,-27.373333333333335,-17.64,21.386666666666667
-18.053333333333335,28.840000000000003,24.933333333333334,-27.373333333333335,-17.46666666666667,21.253333333333334
-18.040000000000003,28.78666666666667,24.880000000000003,-27.360000000000003,-17.42666666666667,21.28
-18.0,28.76,24.880000000000003,-27.360000000000003,-17.560000000000002,21.333333333333336
-18.026666666666667,28.826666666666668,24.853333333333335,-27.400000000000002,-17.58666666666667,21.26666666666667
-17.94666666666667,28.8,24.693333333333335,-27.400000000000002,-17.560000000000002,21.186666666666667
-17.866666666666667,28.8,24.90666666666667,-27.453333333333337,-17.52,21.240000000000002
-18.026666666666667,28.8,24.866666666666667,-27.413333333333334,-17.533333333333335,21.28
-17.986666666666668,28.76,24.880000000000003,-27.333333333333336,-17.560000000000002,21.28
-17.986666666666668,28.78666666666667,24.680000000000003,-27.360000000000003,-17.506666666666668,21.28
-18.0,28.706666666666667,24.866666666666667,-27.360000000000003,-17.560000000000002,21.346666666666668
-17.986666666666668,28.840000000000003,24.84,-27.520000000000003,-17.560000000000002,21.28
-18.0,28.78666666666667,24.94666666666667,-27.333333333333336,-17.706666666666667,21.240000000000002
-18.080000000000002,28.826666666666668,24.90666666666667,-27.373333333333335,-17.533333333333335,21.240000000000002
-17.933333333333334,28.78666666666667,24.866666666666667,-27.373333333333335,-17.493333333333336,21.253333333333334
-18.053333333333335,28.813333333333336,24.84,-27.22666666666667,-17.506666666666668,21.293333333333333
-18.040000000000003,28.8,24.866666666666667,-27.46666666666667,-17.560000000000002,21.293333333333333
-18.040000000000003,28.853333333333335,24.76,-27.373333333333335,-17.560000000000002,21.30666666666667
-17.96,28.866666666666667,24.92,-27.293333333333337,-17.573333333333334,21.226666666666667
-18.053333333333335,28.853333333333335,24.853333333333335,-27.386666666666667,-17.64,21.240000000000002
-17.986666666666668,28.893333333333334,24.58666666666667,-27.333333333333336,-17.533333333333335,21.226666666666667
-18.013333333333335,28.8,24.893333333333334,-27.46666666666667,-17.506666666666668,21.26666666666667
-17.973333333333333,28.8,24.94666666666667,-27.400000000000002,-17.506666666666668,21.28
-18.0,28.78666666666667,24.84,-27.386666666666667,-17.46666666666667,21.253333333333334
-18.013333333333335,28.64,24.853333333333335,-27.560000000000002,-17.506666666666668,21.293333333333333
-17.973333333333333,28.693333333333335,24.92,-27.42666666666667,-17.42666666666667,21.26666666666667
-18.026666666666667,28.8,24.893333333333334,-27.400000000000002,-17.546666666666667,21.26666666666667
-18.013333333333335,28.813333333333336,24.84,-27.240000000000002,-17.6,21.293333333333333
-17.973333333333333,28.8,24.826666666666668,-27.333333333333336,-17.546666666666667,21.213333333333335
-17.94666666666667,28.813333333333336,24.813333333333336,-27.333333333333336,-17.573333333333334,21.28
-18.093333333333334,28.840000000000003,24.680000000000003,-27.333333333333336,-17.6,21.28
-17.973333333333333,28.78666666666667,24.880000000000003,-27.44,-17.546666666666667,21.26666666666667
